Channel2	0	0	1	107,784434080124	4
Channel3	5	19,9600803852081	1	105,788426041603	4
Channel4	10	39,9201607704163	1	103,792418003082	4
Channel5	15	59,8802411556244	2	101,796409964561	4
Channel6	20	69,8602813482285	2	97,8043938875198	3
Channel7	25	79,8403215408325	2	93,8123778104782	3
Channel8	30	89,8203617334366	3	89,8203617334366	3
Channel9	35	93,8123778104782	3	78,8423175215721	2
Channel10	40	97,8043938875198	3	69,8602813482285	2
Channel11	45	101,796409964561	4	58,882237136364	2
Channel12	50	103,792418003082	4	39,9201607704163	1
Channel13	55	105,788426041603	4	19,9600803852081	1
Channel14	60	107,784434080124	4	0	1
